Schuljahr,Schulform,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulnummer,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Straße und Hausnummer,Postleitzahl,Ort,Rechtsstatus,"Telefon-
nummer
Vorwahl","Telefon-
nummer
Durchwahl","Faxnummer
Vorwahl","Faxnummer
Durchwahl","Offizielle
E-Mail-Adresse2)",Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100183,Christophorus-Schule,Städt. Kath. Grundschule,- Primarstufe -,Werstener Friedhofstr. 10,40591,Düsseldorf,Öffentlich,0211,8926170,0211,8926175,100183@schule.nrw.de,210,3,51.1856713,6.8262179,"KGS Christophorus-Schule, 10, Werstener Friedhofstraße, Wersten-Mitte/Ost, Wersten, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40591, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100213,Henri-Dunant-Schule,Städt. Gem. Grundschule,- Primarstufe -,Rheindorfer Weg 20,40591,Düsseldorf,Öffentlich,0211,8924350,0211,8924352,100213@schule.nrw.de,210,2,51.1902116,6.8144787,"Henri-Dunant-Schule, 20, Rheindorfer Weg, Wersten-West, Wersten, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40591, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100225,Städt. Gem. Grundschule,- Primarstufe -,,Bingener Weg 10,40229,Düsseldorf,Öffentlich,0211,8924378,0211,8924385,100225@schule.nrw.de,205,5,51.2009869,6.8196149,"GGS Bingener Weg, 10, Bingener Weg, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100237,Städt. Gem. Grundschule,- Primarstufe -,,Gumbertstr. 191,40229,Düsseldorf,Öffentlich,0211,9215317,0211,2202122,100237@schule.nrw.de,210,8,51.2001112,6.8441671,"Gumbertschule, 191, Gumbertstraße, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100250,St. -Peter-Schule,Städt. Kath. Grundschule,- Primarstufe -,Jahnstr. 97,40215,Düsseldorf,Öffentlich,0211,8924741,0211,8924746,100250@schule.nrw.de,190,6,51.211853,6.7799322,"St.-Peter-Schule Städtische Katholische Grundschule, 97, Jahnstraße, Friedrichstadt, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40215, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100262,St. Michael Schule,Städt. Kath. Grundschule,- Primarstufe -,Kempgensweg 65,40231,Düsseldorf,Öffentlich,0211,8921726,0211,8929434,100262@schule.nrw.de,175,9,51.2078308,6.8286257,"St. Michael-Schule Städtische Katholische Grundschule, 65, Kempgensweg, Lierenfeld, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40231, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100274,Franz-Boehm-Schule,Städtische Katholische Grundschule,- Primarstufe -,Kamper Weg 291,40627,Düsseldorf,Öffentlich,0211,9262055,0211,2700230,100274@schule.nrw.de,185,4,51.2163477,6.862386,"Franz-Boehm-Schule, 291, Kamper Weg, Vennhausen, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40627, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100286,St. Apollinaris Schule,Städtische Katholische Grundschule,- Primarstufe -,Itterstr. 16,40589,Düsseldorf,Öffentlich,0211,8924726,0211,8924736,100286@schule.nrw.de,190,6,51.1750139,6.8308098,"Katholische Grundschule Itterstraße, 16, Itterstraße, Holthausen, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40589, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100298,Städtische Katholische Grundschule,Lohausen,- Primarstufe -,Im Grund 78,40474,Düsseldorf,Öffentlich,0211,8992798,0211,8929433,100298@schule.nrw.de,110,4,51.2756931,6.7375743,"Katholische Grundschule Lohausen, 78, Im Grund, Lohausen, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, 40474, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100304,Städtische Katholische Grundschule,Mettmanner Straße,- Primarstufe -,Hubbelrather Str. 13,40233,Düsseldorf,Öffentlich,0211,8997971,0211,8929449,100304@schule.nrw.de,235,8,51.2230138,6.8067195,"Städtische Katholische Grundschule Mettmanner Straße, 13, Hubbelrather Straße, Flingern Süd, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40233, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100316,Städt. Kath. Grundschule,- Primarstufe -,,Höhenstr. 5,40227,Düsseldorf,Öffentlich,0211,8928261,0211,8929182,100316@schule.nrw.de,220,8,51.2164466,6.7995599,"5, Höhenstraße, Oberbilk, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40227, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100328,Gutenberg Schule,Städt. Gem. Grundschule,,Grafenberger Allee 384,40235,Düsseldorf,Öffentlich,0211,8924469,0211,8924467,100328@schule.nrw.de,460,3,51.2407667,6.824569,"Gutenberg-Schule, 384, Grafenberger Allee, Grafenberg, Stadtbezirk 7, Düsseldorf, Nordrhein-Westfalen, 40235, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100330,Städt. Gem. Grundschule Urdenbach,,,Garather Str. 16,40593,Düsseldorf,Öffentlich,0211,8924450,0211,8924460,100330@schule.nrw.de,275,2,51.1462819,6.8714895,"Gemeinschaftsgrundschule Urdenbach, 16, Garather Straße, Urdenbach, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40593, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100365,Volker-Rosin-Schule,Städt. Gemeinschaftsg. Arnstadter Weg,- Primarstufe -,Arnstadter Weg 6-16,40627,Düsseldorf,Öffentlich,0211,8926420,0211,8926425,100365@schule.nrw.de,305,4,51.2171994,6.8518835,"Gemeinschaftsgrundschule Volker-Rosin-Schule, 6-16, Arnstadter Weg, Tannenhof, Vennhausen, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40627, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100389,Städt. Gem. Grundschule,- Primarstufe -,,Deutzer Str. 102,40229,Düsseldorf,Öffentlich,0211,8924793,0211,8924795,100389@schule.nrw.de,170,6,51.1917554,6.8601012,"GGS Deutzer Straße, 102, Deutzer Straße, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100390,Städt. Gem. Grundschule,,,Am Köhnen 73,40599,Düsseldorf,Öffentlich,0211,8923970,0211,8923972,100390@schule.nrw.de,235,9,51.1801457,6.8662711,"GGS Am Köhnen, 73, Am Köhnen, Hassels, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40599, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100420,Carl Sonnenschein Schule,Städt. Kath. Grundschule,- Primarstufe -,Graf-Recke-Str. 153,40237,Düsseldorf,Öffentlich,0211,8928340,0211,6790791,100420@schule.nrw.de,435,3,51.2436107,6.8177022,"Carl-Sonnenschein-Schule, 153, Graf-Recke-Straße, Düsseltal, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40237, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100432,St.Bruno-Schule,Städt. Kath. Grundschule,- Primarstufe -,An der Golzheimer Heide 120,40468,Düsseldorf,Öffentlich,0211,8923695,0211,8923698,100432@schule.nrw.de,200,4,51.2679115,6.7691821,"St. Bruno-Schule, 120, An der Golzheimer Heide, Unterrath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100444,Paul-Klee-Schule,Städt. Kath. Grundschule,- Primarstufe -,Gerresheimer Str. 34-36,40211,Düsseldorf,Öffentlich,0211,8923752,0211,8923756,100444@schule.nrw.de,215,9,51.2270452,6.7969082,"Gerresheimer Straße, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40211, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100468,Städt. Kath. Grundschule,- Primarstufe -,,Fuldaer Str. 33,40229,Düsseldorf,Öffentlich,0211,9215314,0211,2612412,100468@schule.nrw.de,205,2,51.1917629,6.836897,"Städtische Katholische Grundschule Fuldaer Straße, 33, Fuldaer Straße, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100470,Städt. Gem. Grundschule,- Primarstufe -,,Flurstr. 59,40235,Düsseldorf,Öffentlich,0211,8924557,0211,8924561,100470@schule.nrw.de,260,7,51.2285593,6.816495,"59, Flurstraße, Grafental, Flingern Nord, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40235, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100481,Städt. Katholische Grundschule,Florensstraße,- Primarstufe -,Heinsenstr. 21,40221,Düsseldorf,Öffentlich,0211,8924395,0211,8924398,100481@schule.nrw.de,160,1,51.2057537,6.7414899,"Katholische Grundschule Florensstraße, 21, Heinsenstraße, Hamm, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40221, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100493,Fleher Schule,Städt. Kath. Grundschule,- Primarstufe -,Fleher Str. 213,40223,Düsseldorf,Öffentlich,0211,153916,0211,1596471,100493@schule.nrw.de,335,2,51.193702,6.7689353,"Katholische Grundschule Fleher Straße, 213, Fleher Straße, Flehe, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40223, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100500,Bonifatiusschule,Städt. Kath. Grundschule,- Primarstufe -,Fleher Str. 70,40223,Düsseldorf,Öffentlich,0211,8922110,0211,8929638,100500@schule.nrw.de,300,2,51.2024124,6.7664562,"70, Fleher Straße, Bilk, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40223, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100523,St. Franziskus Schule,Städt. Kath. Grundschule,- Primarstufe -,Herchenbachstr. 2,40470,Düsseldorf,Öffentlich,0211,8924810,0211,8925607,100523@schule.nrw.de,325,3,51.2499658,6.8091293,"2, Herchenbachstraße, Mörsenbroich, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40470, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100535,Städt. Kath. Grundschule,- Primarstufe -,,Essener Str. 1,40476,Düsseldorf,Öffentlich,0211,8923807,0211,8923812,100535@schule.nrw.de,290,5,51.2441227,6.7845271,"Städtische katholische Grundschule, 1, Essener Straße, Derendorf, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40476, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100547,St. Cäcilia Schule,Städt. Kath. Grundschule,,Erich-Müller-Str. 31,40597,Düsseldorf,Öffentlich,0211,8928380,0211,8929672,100547@schule.nrw.de,190,3,51.1671055,6.8690886,"31, Erich-Müller-Straße, Dorf, Benrath, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40597, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100560,Städt. Kath. Grundschule,- Primarstufe -,,Einsiedelstr. 25,40597,Düsseldorf,Öffentlich,0211,8922648,0211,8922654,100560@schule.nrw.de,220,4,51.1633348,6.8847425,"KGS Einsiedelstraße, 25, Einsiedelstraße, Paulsmühle, Benrath, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40597, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100572,Max-Schule,Städt. Kath. Grundschule,- Primarstufe -,Citadellstr. 2 B,40213,Düsseldorf,Öffentlich,0211,8992493,0211,8929453,100572@schule.nrw.de,110,4,51.2231549,6.7705839,"2b, Citadellstraße, Carlstadt, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100584,St. Elisabeth Schule,Städt. Kath. Grundschule,,Buchenstr. 16,40599,Düsseldorf,Öffentlich,0211,744319,0211,7487190,100584@schule.nrw.de,270,9,51.1786998,6.8615154,"St.-Elisabeth-Schule Städtische Katholische Grundschule, 16, Buchenstraße, Reisholz, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40599, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100596,St. Rochus-Schule,Städt. Katholische Grundschule,- Primarstufe -,Blücherstr. 12,40477,Düsseldorf,Öffentlich,0211,8928300,0211,8929622,100596@schule.nrw.de,295,2,51.2399227,6.7830491,"12, Blücherstraße, Pempelfort, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40477, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100602,Thomas-Schule,Städt. Kath. Grundschule,,Blumenthalstr. 11,40476,Düsseldorf,Öffentlich,0211,8924682,0211,8924689,100602@schule.nrw.de,220,5,51.2488047,6.7805323,"11, Blumenthalstraße, Derendorf, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40476, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100638,Montessori-Grundschule Farnweg,Städt. Gem. Grundschule,-Primarstufe-,Farnweg 10,40468,Düsseldorf,Öffentlich,0211,4350990,0211,5162330,100638@schule.nrw.de,335,1,51.2663228,6.7556554,"10, Farnweg, Stockum, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100651,Adolf-Klarenbach-Schule,Städt. Gem. Grundschule,- Primarstufe -,Walther-Rathenau-Str. 15,40589,Düsseldorf,Öffentlich,0211,8926190,0211,8926195,100651@schule.nrw.de,230,7,51.1703353,6.8372849,"Adolf-Klarenbach-Schule, 15, Walther-Rathenau-Straße, Holthausen, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40589, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100663,Städt. Gem. Grundschule Unterrath,- Primarstufe -,,Beedstr. 31,40468,Düsseldorf,Öffentlich,0211,4791162,0211,4791144,100663@schule.nrw.de,90,8,51.2757114,6.7832619,"31, Beedstraße, Unterrath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100675,Selma-Lagerlöf-Schule,Städt. Gem. Grundschule,- Primarstufe -,Schillstr. 7,40599,Düsseldorf,Öffentlich,0211,8925700,0211,8925705,100675@schule.nrw.de,210,4,51.1783302,6.875136,"GGS Selma Lagerlöf, 7, Schillstraße, Hassels, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40599, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100687,Friedrich-von-Bodelschwingh Schule,Städt. Evangelische Grundschule,- Primarstufe -,Cimbernstr. 24,40545,Düsseldorf,Öffentlich,0211,5585930,0211,9542252,100687@schule.nrw.de,325,1,51.2288089,6.7568679,"Friedrich-von-Bodelschwingh-Schule, 24, Cimbernstraße, Oberkassel, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40545, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100699,Joachim Neander Schule,Städt. Gem. Grundschule,- Primarstufe -,Rather Markt 2,40472,Düsseldorf,Öffentlich,0211,9653337,0211,6509866,100699@schule.nrw.de,295,6,51.2681625,6.8256145,"Joachim-Neander-Schule, 2, Rather Markt, Rath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40472, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100705,Brehm Schule,Städt. Ev. Grundschule,,Karl-Müller-Str. 25,40237,Düsseldorf,Öffentlich,0211,8923941,0211,8923950,100705@schule.nrw.de,460,1,51.234302,6.81407,"Brehm-Schule, 25, Karl-Müller-Straße, Düsseltal, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40237, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100717,Elsa-Brandström-Schule,Städtische Evangelische Montessori-,Grundschule  - Primarstufe -,An der Golzheimer Heide 120,40468,Düsseldorf,Öffentlich,0211,8923692,0211,8923699,100717@schule.nrw.de,230,2,51.2682782,6.7684324,"Elsa-Brandström-Schule, An der Golzheimer Heide, Unterrath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100730,Martin-Luther-Schule,Städt. Ev. Grundschule,- Primarstufe -,Gotenstr. 20,40225,Düsseldorf,Öffentlich,0211,8921729,0211,8929461,100730@schule.nrw.de,230,6,51.1962308,6.7790469,"Martin-Luther Schule, 20, Gotenstraße, Bilk, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40225, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100742,Matthias-Claudius-Schule,Städt. Gemeinschaftsgrundschule,- Primarstufe -,Bongardstr. 9,40479,Düsseldorf,Öffentlich,0211,8928310,0211,8929623,100742@schule.nrw.de,445,4,51.2345252,6.7868633,"Matthias-Claudius-Schule, 9, Bongardstraße, Pempelfort, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40479, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100754,Hanna-Zürndorfer-Schule,Städtische Evangelische Grundschule,- Primarstufe -,Benderstr. 78,40625,Düsseldorf,Öffentlich,0211,8928320,0211,8929625,100754@schule.nrw.de,220,2,51.237436,6.8518515,"Hanna-Zürndorfer-Schule, 78, Benderstraße, Gerresheim, Stadtbezirk 7, Düsseldorf, Nordrhein-Westfalen, 40625, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100766,Beckbusch-Schule,Städtische Gemeinschaftsgrundschule,- Primarstufe -,Beckbuschstr. 2,40474,Düsseldorf,Öffentlich,0211,8994719,0211,8929454,100766@schule.nrw.de,255,3,51.2643931,6.7519503,"GGS Beckbusch-Schule, 2, Beckbuschstraße, Stockum, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, 40474, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100778,Städt. Gem. Grundschule Lörick,- Primarstufe -,,Wickrather Str. 31,40547,Düsseldorf,Öffentlich,0211,8924635,0211,8924630,100778@schule.nrw.de,350,3,51.2436331,6.7329352,"Gemeinschaftsgrundschule Lörick, 31, Wickrather Straße, Lörick, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40547, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100780,Städt. Gem. Grundschule,- Primarstufe -,,Vennhauser Allee 160-162,40627,Düsseldorf,Öffentlich,0211,8926630,0211,8926635,100780@schule.nrw.de,170,3,51.206361,6.8559242,"GGS Vennhauser Allee, 160-162, Vennhauser Allee, Siedlung Freiheit, Vennhausen, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40627, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100791,Städt. Gem. Grundschule,- Primarstufe -,,Südallee 100,40593,Düsseldorf,Öffentlich,0211,8928400,0211,8929686,100791@schule.nrw.de,295,3,51.1542672,6.8828487,"Städtische Gemeinschaftsgrundschule Südallee, 100, Südallee, Benrath, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40593, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100808,Städt. Gem. Grundschule,- Primarstufe -,,Sonnenstr. 10,40227,Düsseldorf,Öffentlich,0211,8924780,0211,8929841,100808@schule.nrw.de,335,9,51.1243052,6.7866969,"10, Sonnenstraße, Delrath, Dormagen, Rhein-Kreis Neuss, Nordrhein-Westfalen, 41542, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100810,Städt. Gem. Grundschule,- Primarstufe -,,Konkordiastr. 26,40217,Düsseldorf,Öffentlich,0211,8923662,0211,8923672,100810@schule.nrw.de,230,3,51.214933,6.7699089,"Städtische Gemeinschaftsgrundschule Konkordiastraße, 26, Konkordiastraße, Unterbilk, Stadtbezirk 3, Düsseldorf, Nordrhein-Westfalen, 40219, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100821,Don-Bosco-Montessori-Schule,Städt. Gem. Grundschule,- Primarstufe -,Salierstr. 37,40545,Düsseldorf,Öffentlich,0211,8925650,0211,9542162,100821@schule.nrw.de,195,5,51.2294824,6.7574625,"Don Bosco-Montessori-Schule, 37, Salierstraße, Oberkassel, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40545, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100833,Städt. Gem. Grundschule,- Primarstufe -,,Rolandstr. 40,40476,Düsseldorf,Öffentlich,0211,8923780,0211,8923786,100833@schule.nrw.de,405,4,51.2457754,6.7765735,"Gemeinschaftsgrundschule Rolandstraße, 40, Rolandstraße, Golzheim, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40476, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100845,Städt. Gem. Grundschule,- Primarstufe -,,Richardstr. 14,40231,Düsseldorf,Öffentlich,0211,8923951,0211,8923958,100845@schule.nrw.de,330,7,51.2048315,6.8379696,"Städtische Gemeinschaftsgrundschule Richardstraße, 14, Richardstraße, Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40231, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100869,Städtische Gemeinschaftsgrundschule,Wrangelstraße  -Primarstufe-,,Wrangelstr. 40,40470,Düsseldorf,Öffentlich,0211,8992880,0211,8929435,100869@schule.nrw.de,260,7,51.2560535,6.8095493,"Grundschule Wrangelstraße, 40, Wrangelstraße, Mörsenbroich, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40470, Deutschland"
